City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,Stromness,58.965,-3.296,35.56,97,100,8.5,GB,2021-11-28 03:41:21
332,Leningradskiy,69.3833,178.4167,-20.54,91,19,9.57,RU,2021-11-28 03:41:22
333,Lata,40.1629,-8.3327,39.61,85,7,4.54,PT,2021-11-28 03:41:22
334,Lavrentiya,65.5833,-171.0,-11.04,94,6,7.47,RU,2021-11-28 03:41:22
335,Sfantu Gheorghe,45.8667,25.7833,39.15,85,61,2.64,RO,2021-11-28 03:41:23
336,Oranjemund,-28.55,16.4333,60.62,86,100,4.81,NA,2021-11-28 03:36:27
337,Ahuimanu,21.4447,-157.8378,80.31,66,1,5.75,US,2021-11-28 03:41:24
338,Ilulissat,69.2167,-51.1,23.02,63,100,16.11,GL,2021-11-28 03:41:24
339,Seoul,37.5683,126.9778,50.41,34,0,3.44,KR,2021-11-28 03:37:28
340,Madison Heights,42.4859,-83.1052,34.07,93,90,0.0,US,2021-11-28 03:41:25
341,Nanortalik,60.1432,-45.2371,42.49,96,100,13.58,GL,2021-11-28 03:41:25
342,Los Palacios,22.5872,-83.2486,65.59,94,15,3.62,CU,2021-11-28 03:41:26
343,Harrison,30.4091,-89.0436,55.45,67,75,0.0,US,2021-11-28 03:41:26
344,Nishihara,26.1842,127.7558,72.68,49,75,19.57,JP,2021-11-28 03:41:26
345,Tenamaxtlan,20.2167,-104.1667,61.45,74,37,1.34,MX,2021-11-28 03:41:27
346,Dianalund,55.5313,11.4925,35.69,97,100,6.11,DK,2021-11-28 03:41:27
347,Concarneau,47.875,-3.9225,41.79,83,96,13.8,FR,2021-11-28 03:41:28
348,Laiyang,36.9758,120.7136,55.42,57,100,10.54,CN,2021-11-28 03:41:28
349,Maldonado,-34.6667,-54.9167,67.39,97,100,5.21,UY,2021-11-28 03:41:26
350,Bilibino,68.0546,166.4372,-22.41,96,74,4.29,RU,2021-11-28 03:41:29
351,Nkan,0.3833,9.7833,74.97,96,100,2.24,GA,2021-11-28 03:41:30
352,Korla,41.7597,86.1469,30.76,87,96,9.44,CN,2021-11-28 03:41:30
353,Zhanaozen,43.3,52.8,34.84,36,3,10.2,KZ,2021-11-28 03:37:55
354,Mitsamiouli,-11.3847,43.2844,75.49,94,75,10.36,KM,2021-11-28 03:41:31
355,Lebu,-37.6167,-73.65,51.53,75,0,16.96,CL,2021-11-28 03:41:31
356,Guinope,13.8833,-86.9333,62.69,88,81,5.01,HN,2021-11-28 03:41:32
357,Dasoguz,41.8363,59.9666,23.11,63,0,6.91,TM,2021-11-28 03:41:32
358,Bandarbeyla,9.4942,50.8122,79.09,78,88,15.21,SO,2021-11-28 03:41:32
359,Porto Walter,-8.2686,-72.7439,72.1,97,100,0.83,BR,2021-11-28 03:41:33
360,Payo,-3.7508,103.6372,76.62,77,100,1.21,ID,2021-11-28 03:41:34
361,Lucapa,-8.4192,20.7447,63.68,98,100,0.98,AO,2021-11-28 03:41:34
362,Sao Raimundo Das Mangabeiras,-7.0219,-45.4811,76.82,78,49,3.4,BR,2021-11-28 03:42:35
363,Abalak,58.1286,68.5944,21.07,96,96,6.82,RU,2021-11-28 03:42:35
364,Nipawin,53.3668,-104.0009,19.44,68,1,8.05,CA,2021-11-28 03:42:36
365,Candido De Abreu,-24.5669,-51.3333,64.53,88,0,1.86,BR,2021-11-28 03:42:36
366,Praia,14.9215,-23.5087,75.74,69,40,20.71,CV,2021-11-28 03:40:32
367,Conceicao Do Araguaia,-8.2578,-49.2647,73.13,95,81,3.15,BR,2021-11-28 03:42:37
368,Ligayan,4.6533,119.4706,83.41,75,99,10.58,PH,2021-11-28 03:42:37
369,Port Blair,11.6667,92.75,83.98,70,18,14.5,IN,2021-11-28 03:42:38
370,Golyshmanovo,56.3979,68.3728,18.34,94,80,9.62,RU,2021-11-28 03:42:38
371,Tabou,4.423,-7.3528,78.69,86,18,7.09,CI,2021-11-28 03:42:39
372,Craig,40.5153,-107.5464,33.42,80,1,0.0,US,2021-11-28 03:42:39
373,Kilindoni,-7.9139,39.6668,79.81,81,92,16.89,TZ,2021-11-28 03:42:40
374,Suntar,62.1444,117.6319,1.85,89,98,7.11,RU,2021-11-28 03:42:40
375,Kavieng,-2.5744,150.7967,84.94,65,83,3.6,PG,2021-11-28 03:42:41
376,Chateaubelair,13.2833,-61.25,79.41,84,59,9.04,VC,2021-11-28 03:42:41
377,Lorengau,-2.0226,147.2712,86.23,65,100,7.36,PG,2021-11-28 03:42:41
378,Sao Filipe,14.8961,-24.4956,77.07,71,77,10.8,CV,2021-11-28 03:42:42
379,Tautira,-17.7333,-149.15,84.22,80,42,18.92,PF,2021-11-28 03:42:42
380,Tezu,27.9167,96.1667,75.87,31,0,2.89,IN,2021-11-28 03:42:43
381,Lazaro Cardenas,17.9583,-102.2,75.13,82,4,5.44,MX,2021-11-28 03:41:12
382,Eyl,7.9803,49.8164,78.78,74,54,13.58,SO,2021-11-28 03:42:43
383,Saint-Pierre,-21.3393,55.4781,80.24,83,75,8.05,RE,2021-11-28 03:42:44
384,San Cristobal,7.7669,-72.225,71.78,90,31,1.43,VE,2021-11-28 03:42:44
385,Kyshtovka,56.555,76.6271,20.3,94,100,11.36,RU,2021-11-28 03:42:45
386,Lagoa,39.05,-27.9833,61.21,60,96,7.7,PT,2021-11-28 03:42:45
387,Morden,49.1919,-98.1014,26.46,54,2,12.66,CA,2021-11-28 03:40:56
388,Grindavik,63.8424,-22.4338,36.07,93,0,8.05,IS,2021-11-28 03:42:46
389,Hamilton,39.1834,-84.5333,45.79,71,20,0.0,US,2021-11-28 03:39:33
390,Adrar,20.5022,-10.0711,61.23,36,66,15.05,MR,2021-11-28 03:42:47
391,Siirt,37.9326,41.9403,49.6,63,100,0.43,TR,2021-11-28 03:42:47
392,Portland,45.5234,-122.6762,63.18,85,90,11.5,US,2021-11-28 03:40:06
393,Slave Lake,55.2834,-114.769,28.38,74,90,13.8,CA,2021-11-28 03:42:48
394,Makakilo City,21.3469,-158.0858,79.12,60,75,4.61,US,2021-11-28 03:42:48
395,Chapais,49.7834,-74.8492,19.18,90,100,12.84,CA,2021-11-28 03:42:49
396,Kota Bahru,6.1333,102.2386,78.8,94,40,3.44,MY,2021-11-28 03:42:49
397,Morros,-9.4467,-46.3003,73.06,83,88,2.44,BR,2021-11-28 03:42:50
398,Boende,-0.2167,20.8667,71.49,89,92,2.08,CD,2021-11-28 03:42:50
399,Platonovka,52.7106,41.952,35.4,99,100,10.56,RU,2021-11-28 03:42:51
400,Sao Joao Da Barra,-21.6403,-41.0511,72.27,84,51,9.17,BR,2021-11-28 03:42:51
401,Dunedin,-45.8742,170.5036,60.28,69,1,13.6,NZ,2021-11-28 03:42:51
402,Hokitika,-42.7167,170.9667,63.01,78,99,4.72,NZ,2021-11-28 03:42:52
403,Mizdah,31.4451,12.9801,62.35,53,81,6.08,LY,2021-11-28 03:42:52
404,Inuvik,68.3499,-133.7218,-10.19,77,40,10.36,CA,2021-11-28 03:42:53
405,Vila Franca Do Campo,37.7167,-25.4333,59.41,72,53,6.02,PT,2021-11-28 03:42:53
406,Morondava,-20.2833,44.2833,73.0,57,0,5.64,MG,2021-11-28 03:42:54
407,Victoria,22.2855,114.1577,75.16,47,70,5.82,HK,2021-11-28 03:41:26
408,Trudobelikovskiy,45.2686,38.1631,56.62,77,100,12.75,RU,2021-11-28 03:43:54
409,Darlowo,54.421,16.4107,35.65,96,100,9.17,PL,2021-11-28 03:43:55
410,Mount Pleasant,32.7941,-79.8626,42.94,94,1,0.0,US,2021-11-28 03:43:55
411,Marsh Harbour,26.5412,-77.0636,71.91,66,14,7.05,BS,2021-11-28 03:43:56
412,Kharp,66.8014,65.8081,-10.62,92,5,7.85,RU,2021-11-28 03:43:56
